GEO_ID,NAME,B25035_001E,B25035_001M
id,Geographic Area Name,Estimate!!Median year structure built,Margin of Error!!Median year structure built
0500000US01003,"Baldwin County, Alabama",1995,1
0500000US01015,"Calhoun County, Alabama",1977,2
0500000US01043,"Cullman County, Alabama",1979,2
0500000US01049,"DeKalb County, Alabama",1980,2
0500000US01051,"Elmore County, Alabama",1992,2
0500000US01055,"Etowah County, Alabama",1971,2
0500000US01069,"Houston County, Alabama",1978,2
0500000US01073,"Jefferson County, Alabama",1973,1
0500000US01077,"Lauderdale County, Alabama",1976,3
0500000US01081,"Lee County, Alabama",1992,1
0500000US01083,"Limestone County, Alabama",1988,2
0500000US01089,"Madison County, Alabama",1984,1
0500000US01095,"Marshall County, Alabama",1982,3
0500000US01097,"Mobile County, Alabama",1976,1
0500000US01101,"Montgomery County, Alabama",1978,2
0500000US01103,"Morgan County, Alabama",1982,2
0500000US01115,"St. Clair County, Alabama",1991,2
0500000US01117,"Shelby County, Alabama",1992,2
0500000US01121,"Talladega County, Alabama",1978,2
0500000US01125,"Tuscaloosa County, Alabama",1988,2
0500000US01127,"Walker County, Alabama",1980,3
0500000US02020,"Anchorage Municipality, Alaska",1981,2
0500000US02090,"Fairbanks North Star Borough, Alaska",1981,2
0500000US02170,"Matanuska-Susitna Borough, Alaska",1990,2
0500000US04001,"Apache County, Arizona",1982,2
0500000US04003,"Cochise County, Arizona",1986,2
0500000US04005,"Coconino County, Arizona",1986,1
0500000US04013,"Maricopa County, Arizona",1989,2
0500000US04015,"Mohave County, Arizona",1992,2
0500000US04017,"Navajo County, Arizona",1986,2
0500000US04019,"Pima County, Arizona",1983,1
0500000US04021,"Pinal County, Arizona",2001,1
0500000US04025,"Yavapai County, Arizona",1991,2
0500000US04027,"Yuma County, Arizona",1991,2
0500000US05007,"Benton County, Arkansas",1992,1
0500000US05031,"Craighead County, Arkansas",1982,3
0500000US05045,"Faulkner County, Arkansas",1991,2
0500000US05051,"Garland County, Arkansas",1982,2
0500000US05069,"Jefferson County, Arkansas",1973,2
0500000US05085,"Lonoke County, Arkansas",1992,3
0500000US05119,"Pulaski County, Arkansas",1977,1
0500000US05125,"Saline County, Arkansas",1992,2
0500000US05131,"Sebastian County, Arkansas",1976,2
0500000US05143,"Washington County, Arkansas",1990,2
0500000US05145,"White County, Arkansas",1985,2
0500000US06001,"Alameda County, California",1966,2
0500000US06007,"Butte County, California",1978,1
0500000US06013,"Contra Costa County, California",1975,1
0500000US06017,"El Dorado County, California",1982,2
0500000US06019,"Fresno County, California",1977,2
0500000US06023,"Humboldt County, California",1970,2
0500000US06025,"Imperial County, California",1984,3
0500000US06029,"Kern County, California",1981,2
0500000US06031,"Kings County, California",1982,2
0500000US06033,"Lake County, California",1977,2
0500000US06037,"Los Angeles County, California",1962,1
0500000US06039,"Madera County, California",1985,2
0500000US06041,"Marin County, California",1965,2
0500000US06045,"Mendocino County, California",1974,2
0500000US06047,"Merced County, California",1979,2
0500000US06053,"Monterey County, California",1972,2
0500000US06055,"Napa County, California",1975,2
0500000US06057,"Nevada County, California",1982,3
0500000US06059,"Orange County, California",1975,2
0500000US06061,"Placer County, California",1990,2
0500000US06065,"Riverside County, California",1987,1
0500000US06067,"Sacramento County, California",1977,1
0500000US06071,"San Bernardino County, California",1981,1
0500000US06073,"San Diego County, California",1977,1
0500000US06075,"San Francisco County, California",1941,2
0500000US06077,"San Joaquin County, California",1979,1
0500000US06079,"San Luis Obispo County, California",1982,2
0500000US06081,"San Mateo County, California",1963,1
0500000US06083,"Santa Barbara County, California",1971,2
0500000US06085,"Santa Clara County, California",1972,1
0500000US06087,"Santa Cruz County, California",1971,2
0500000US06089,"Shasta County, California",1979,2
0500000US06095,"Solano County, California",1979,2
0500000US06097,"Sonoma County, California",1976,1
0500000US06099,"Stanislaus County, California",1980,1
0500000US06101,"Sutter County, California",1981,3
0500000US06107,"Tulare County, California",1980,2
0500000US06111,"Ventura County, California",1975,1
0500000US06113,"Yolo County, California",1978,1
0500000US06115,"Yuba County, California",1979,3
0500000US08001,"Adams County, Colorado",1982,2
0500000US08005,"Arapahoe County, Colorado",1982,2
0500000US08013,"Boulder County, Colorado",1981,2
0500000US08031,"Denver County, Colorado",1966,1
0500000US08035,"Douglas County, Colorado",1997,1
0500000US08041,"El Paso County, Colorado",1983,1
0500000US08059,"Jefferson County, Colorado",1977,2
0500000US08069,"Larimer County, Colorado",1985,1
0500000US08077,"Mesa County, Colorado",1982,2
0500000US08101,"Pueblo County, Colorado",1970,2
0500000US08123,"Weld County, Colorado",1988,3
0500000US09001,"Fairfield County, Connecticut",1962,2
0500000US09003,"Hartford County, Connecticut",1963,2
0500000US09005,"Litchfield County, Connecticut",1965,3
0500000US09007,"Middlesex County, Connecticut",1972,2
0500000US09009,"New Haven County, Connecticut",1960,2
0500000US09011,"New London County, Connecticut",1966,2
