GEO_ID,NAME,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M,B25034_011E,B25034_011M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Built 2014 or later,Margin of Error!!Total:!!Built 2014 or later,Estimate!!Total:!!Built 2010 to 2013,Margin of Error!!Total:!!Built 2010 to 2013,Estimate!!Total:!!Built 2000 to 2009,Margin of Error!!Total:!!Built 2000 to 2009,Estimate!!Total:!!Built 1990 to 1999,Margin of Error!!Total:!!Built 1990 to 1999,Estimate!!Total:!!Built 1980 to 1989,Margin of Error!!Total:!!Built 1980 to 1989,Estimate!!Total:!!Built 1970 to 1979,Margin of Error!!Total:!!Built 1970 to 1979,Estimate!!Total:!!Built 1960 to 1969,Margin of Error!!Total:!!Built 1960 to 1969,Estimate!!Total:!!Built 1950 to 1959,Margin of Error!!Total:!!Built 1950 to 1959,Estimate!!Total:!!Built 1940 to 1949,Margin of Error!!Total:!!Built 1940 to 1949,Estimate!!Total:!!Built 1939 or earlier,Margin of Error!!Total:!!Built 1939 or earlier
0500000US01003,"Baldwin County, Alabama",119425,483,10384,2384,4411,1089,29879,3483,25051,2832,21868,2559,10624,1861,5587,1455,4253,1356,1863,849,5505,2019
0500000US01015,"Calhoun County, Alabama",53809,404,816,427,1270,660,8129,1457,7351,1443,7781,1383,9545,1482,5527,1082,6682,1317,4165,920,2543,858
0500000US01043,"Cullman County, Alabama",38256,332,1888,739,617,341,3420,709,7596,1405,6172,1131,8561,1357,4176,844,1741,690,1121,517,2964,1012
0500000US01049,"DeKalb County, Alabama",31606,256,185,167,631,389,5702,1166,6690,1352,3258,815,5766,1199,3207,1043,2007,762,1844,832,2316,757
0500000US01051,"Elmore County, Alabama",34481,471,3280,1062,1509,680,8585,1389,7254,1265,4153,1211,4705,1220,1837,578,1801,828,794,416,563,409
0500000US01055,"Etowah County, Alabama",47855,203,1174,593,972,585,3788,991,6284,1307,6578,1268,7816,1572,6113,1315,7323,1274,3324,828,4483,824
0500000US01069,"Houston County, Alabama",48138,294,1856,554,2056,378,7740,865,7467,896,6553,792,8834,766,5650,550,4434,614,2383,443,1165,264
0500000US01073,"Jefferson County, Alabama",309673,1114,13107,2199,8057,1756,31557,2952,34003,2855,39173,3425,55667,4051,41142,3253,41859,2771,19187,2729,25921,2755
0500000US01077,"Lauderdale County, Alabama",45616,420,1836,699,1339,578,4631,1270,8393,1197,6031,1335,8861,1739,7184,1271,4720,973,1044,455,1577,605
0500000US01081,"Lee County, Alabama",71228,463,8051,1802,4224,1352,14657,2357,15422,2357,11137,2061,7924,1712,3432,1037,3030,1203,2048,1107,1303,671
0500000US01083,"Limestone County, Alabama",36520,364,3361,1011,2878,1258,7483,1407,5483,1212,4959,1228,4006,898,4076,1070,2172,752,1188,643,914,403
0500000US01089,"Madison County, Alabama",166523,797,11427,1924,11208,2271,28132,2814,29562,2443,30165,2744,14294,1772,26300,2706,10166,1416,1521,526,3748,1051
0500000US01095,"Marshall County, Alabama",40798,154,1604,798,765,506,5887,1255,7631,1338,6912,1042,7709,1284,3494,697,3386,832,1065,482,2345,837
0500000US01097,"Mobile County, Alabama",185062,563,5108,1178,5328,1453,21357,2557,22942,2134,30803,3131,40029,3347,25484,2432,19203,2451,8122,1413,6686,1063
0500000US01101,"Montgomery County, Alabama",105314,927,4686,1291,3897,1517,11718,1693,16739,2245,14542,2121,22074,2723,12477,1976,10486,1469,3964,997,4731,906
0500000US01103,"Morgan County, Alabama",52403,518,2108,855,729,511,6369,1422,10065,1531,8890,1644,8875,1322,7594,1388,4769,1258,1189,582,1815,628
0500000US01115,"St. Clair County, Alabama",37258,286,2054,765,1039,589,9523,1411,7900,1815,6301,1307,5169,1483,1784,714,1422,728,369,273,1697,852
